A,B,M,N,rhoa,k,err
13,16,14,15,2.27,71.3142,0.03
12,17,14,15,0.65296,61.54,0.03
11,18,14,15,0.32732,61.6984,0.03
10,19,14,15,0.22545,70.8272,0.03
9,20,14,15,0.16862,79.4603,0.03
8,21,14,15,0.1344,88.6683,0.03
12,15,13,14,2.3868,74.9835,0.03
11,16,13,14,0.67839,63.9368,0.03
10,17,13,14,0.36287,68.3994,0.03
9,18,13,14,0.24609,77.3115,0.03
8,19,13,14,0.18771,88.4563,0.03
7,20,13,14,0.15335,101.17,0.03
11,14,12,13,2.2777,71.5561,0.03
10,15,12,13,0.71318,67.2156,0.03
9,16,12,13,0.37697,71.0572,0.03
8,17,12,13,0.26101,81.9987,0.03
7,18,12,13,0.20128,94.851,0.03
6,19,12,13,0.15823,104.39,0.03
10,13,11,12,1.8098,56.8565,0.03
9,14,11,12,0.5791,54.5789,0.03
8,15,11,12,0.30196,56.9181,0.03
7,16,11,12,0.20594,64.698,0.03
6,17,11,12,0.15549,73.2729,0.03
5,18,11,12,0.1242,81.939,0.03
9,12,10,11,1.7538,55.0973,0.03
8,13,10,11,0.57259,53.9653,0.03
7,14,10,11,0.3112,58.6598,0.03
6,15,10,11,0.20961,65.8509,0.03
5,16,10,11,0.1614,76.058,0.03
4,17,10,11,0.13275,87.5797,0.03
8,11,9,10,1.5589,48.9743,0.03
7,12,9,10,0.59156,55.7532,0.03
6,13,9,10,0.32801,61.8284,0.03
5,14,9,10,0.22534,70.7926,0.03
4,15,9,10,0.17279,81.4254,0.03
3,16,9,10,0.13965,92.1319,0.03
7,10,8,9,2.1109,66.3159,0.03
6,11,8,9,0.58978,55.5855,0.03
5,12,8,9,0.33832,63.7718,0.03
4,13,8,9,0.23213,72.9258,0.03
3,14,8,9,0.17408,82.0333,0.03
2,15,8,9,0.1348,88.9322,0.03
6,9,7,8,2.2648,71.1508,0.03
5,10,7,8,0.61077,57.5637,0.03
4,11,7,8,0.32659,61.5608,0.03
3,12,7,8,0.22785,71.5812,0.03
2,13,7,8,0.1674,78.8854,0.03
1,14,7,8,0.1346,88.8003,0.03
5,8,6,7,2.8508,89.5605,0.03
4,9,6,7,0.67914,64.0074,0.03
3,10,6,7,0.34014,64.1149,0.03
2,11,6,7,0.22795,71.6126,0.03
1,12,6,7,0.17703,83.4234,0.03
4,7,5,6,2.9922,94.0027,0.03
3,8,5,6,0.71642,67.521,0.03
2,9,5,6,0.34446,64.9292,0.03
1,10,5,6,0.23531,73.9248,0.03
3,6,4,5,3.2333,101.577,0.03
2,7,4,5,0.69697,65.6879,0.03
1,8,4,5,0.35083,66.1299,0.03
2,5,3,4,2.8364,89.1081,0.03
1,6,3,4,0.7572,71.3644,0.03
1,4,2,3,3.3044,103.811,0.03
14,17,15,16,2.2865,71.8325,0.03
13,18,15,16,0.69896,65.8754,0.03
12,19,15,16,0.35039,66.047,0.03
11,20,15,16,0.23176,72.8096,0.03
10,21,15,16,0.1801,84.8701,0.03
9,22,15,16,0.14213,93.7681,0.03
15,18,16,17,1.9546,61.4056,0.03
14,19,16,17,0.64431,60.7248,0.03
13,20,16,17,0.33771,63.6568,0.03
12,21,16,17,0.22574,70.9183,0.03
11,22,16,17,0.17069,80.4358,0.03
10,23,16,17,0.13994,92.3232,0.03
16,19,17,18,2.3153,72.7373,0.03
15,20,17,18,0.66256,62.4448,0.03
14,21,17,18,0.3702,69.7811,0.03
13,22,17,18,0.25084,78.8037,0.03
12,23,17,18,0.18479,87.0802,0.03
11,24,17,18,0.14746,97.2844,0.03
17,20,18,19,1.809,56.8314,0.03
16,21,18,19,0.63803,60.1329,0.03
15,22,18,19,0.34743,65.489,0.03
14,23,18,19,0.23829,74.861,0.03
13,24,18,19,0.18,84.823,0.03
12,25,18,19,0.14103,93.0423,0.03
18,21,19,20,2.2662,71.1948,0.03
17,22,19,20,0.66459,62.6361,0.03
16,23,19,20,0.36034,67.9225,0.03
15,24,19,20,0.25115,78.9011,0.03
14,25,19,20,0.19107,90.0396,0.03
13,26,19,20,0.15158,100.003,0.03
19,22,20,21,1.7631,55.3894,0.03
18,23,20,21,0.62238,58.6579,0.03
17,24,20,21,0.34519,65.0668,0.03
16,25,20,21,0.24351,76.5009,0.03
15,26,20,21,0.18835,88.7578,0.03
14,27,20,21,0.14761,97.3834,0.03
20,23,21,22,1.7337,54.4658,0.03
19,24,21,22,0.60753,57.2584,0.03
18,25,21,22,0.34958,65.8943,0.03
17,26,21,22,0.24063,75.5961,0.03
16,27,21,22,0.18152,85.5393,0.03
15,28,21,22,0.14598,96.308,0.03
21,24,22,23,1.6332,51.3085,0.03
20,25,22,23,0.63004,59.3799,0.03
19,26,22,23,0.37674,71.0138,0.03
18,27,22,23,0.25963,81.5652,0.03
17,28,22,23,0.19359,91.2271,0.03
16,29,22,23,0.14918,98.4192,0.03
22,25,23,24,1.3287,41.7423,0.03
21,26,23,24,0.57714,54.3942,0.03
20,27,23,24,0.33669,63.4646,0.03
19,28,23,24,0.23335,73.3091,0.03
18,29,23,24,0.17014,80.1766,0.03
17,30,23,24,0.1301,85.8315,0.03
23,26,24,25,1.4332,45.0253,0.03
22,27,24,25,0.58185,54.8381,0.03
21,28,24,25,0.34348,64.7445,0.03
20,29,24,25,0.22738,71.4335,0.03
19,30,24,25,0.16601,78.2304,0.03
18,31,24,25,0.12689,83.7137,0.03
24,27,25,26,1.3334,41.89,0.03
23,28,25,26,0.56313,53.0738,0.03
