A,B,M,N,CURRENT,dV,k,rhoa,err
27,28,26,25,0.055,2.973773,0.0,1023.76,0.001
27,28,25,24,0.055,0.9918699999999999,0.0,1362.8,0.001
27,28,24,23,0.055,0.41939865,0.0,1436.39,0.002
27,28,23,22,0.055,0.2130689,0.0,1464.41,0.002
27,28,22,21,0.055,0.12913065,0.0,1552.14,0.001
27,28,21,20,0.055,0.08273925,0.0,1586.68,0.002
27,28,20,19,0.055,0.06148505,0.0,1774.33,0.002
27,28,19,18,0.055,0.044280885,0.0,1824.8,0.001
26,27,25,24,0.05,3.486365,0.0,1311.38,0.002
26,27,24,23,0.05,1.0607849999999999,0.0,1592.45,0.002
26,27,23,22,0.05,0.4413315,0.0,1662.66,0.002
26,27,22,21,0.05,0.2338605,0.0,1760.89,0.002
26,27,21,20,0.05,0.137923,0.0,1812.39,0.002
26,27,20,19,0.05,0.09719900000000001,0.0,2050.37,0.001
26,27,19,18,0.05,0.066971,0.0,2118.24,0.001
26,27,18,17,0.05,0.04883465000000001,0.0,2200.31,0.001
26,28,18,16,0.05,0.137936,0.0,2077.22,0.002
26,28,16,14,0.05,0.0703135,0.0,1853.62,0.002
26,28,14,12,0.05,0.0398028,0.0,1681.27,0.002
25,26,24,23,0.049,3.109246,0.0,1193.39,1e-06
25,26,23,22,0.049,0.9432451000000001,0.0,1454.68,1e-06
25,26,22,21,0.049,0.41074691,0.0,1582.22,1e-06
25,26,21,20,0.049,0.21240520000000002,0.0,1631.98,1e-06
25,26,20,19,0.049,0.1380379,0.0,1862.37,1e-06
25,26,19,18,0.049,0.09034375,0.0,1949.35,1e-06
25,26,18,17,0.049,0.06325361,0.0,2041.49,1e-06
25,26,17,16,0.049,0.048229622,0.0,2230.9,1e-06
25,27,17,15,0.049,0.13685161,0.0,2107.21,0.001
25,27,15,13,0.049,0.07055608000000001,0.0,1897.98,0.002
25,27,13,11,0.049,0.040363064000000004,0.0,1737.63,0.002
24,25,23,22,0.049,3.1098144000000003,0.0,1201.69,0.001
24,25,22,21,0.049,0.9790445,0.0,1509.89,0.001
24,25,21,20,0.049,0.41214537,0.0,1584.39,0.001
24,25,20,19,0.049,0.23362514,0.0,1802.3,0.001
24,25,19,18,0.049,0.1417129,0.0,1911.95,0.001
24,25,18,17,0.049,0.09466016000000001,0.0,2037.57,0.001
24,25,17,16,0.049,0.06927326,0.0,2243.87,0.001
24,25,16,15,0.049,0.043652091,0.0,2019.16,0.001
24,26,16,14,0.05,0.1313435,0.0,1981.95,0.001
24,26,14,12,0.05,0.0712865,0.0,1885.08,0.001
24,26,12,10,0.05,0.04016625,0.0,1696.62,0.001
23,24,22,21,0.05,3.2240200000000003,0.0,1212.7,1e-06
23,24,21,20,0.05,0.968785,0.0,1454.34,1e-06
23,24,20,19,0.05,0.443647,0.0,1671.39,0.001
23,24,19,18,0.05,0.23471950000000003,0.0,1767.36,0.001
23,24,18,17,0.05,0.1449365,0.0,1904.55,0.001
23,24,17,16,0.05,0.10102050000000001,0.0,2130.99,0.001
23,24,16,15,0.05,0.061054500000000005,0.0,1931.1,0.001
23,24,15,14,0.05,0.044880500000000004,0.0,2022.15,0.001
23,25,15,13,0.05,0.131664,0.0,1982.77,0.001
23,25,13,11,0.05,0.0721775,0.0,1902.76,0.001
23,25,11,9,0.05,0.0406605,0.0,1717.5,0.001
22,23,21,20,0.048,3.0250224,0.0,1185.26,0.001
22,23,20,19,0.048,0.9793728,0.0,1541.86,1e-06
22,23,19,18,0.048,0.41794464,0.0,1643.48,0.001
22,23,18,17,0.048,0.22535519999999998,0.0,1767.55,0.001
22,23,17,16,0.048,0.14454048,0.0,1990.72,0.001
22,23,16,15,0.048,0.08286816000000001,0.0,1825.3,0.001
22,23,15,14,0.048,0.058251840000000006,0.0,1919.23,0.001
22,23,14,13,0.048,0.039507216,0.0,1865.51,0.001
22,24,14,12,0.05,0.125332,0.0,1891.24,0.001
22,24,12,10,0.05,0.06750450000000001,0.0,1779.57,0.001
22,24,10,8,0.05,0.0377341,0.0,1591.97,1e-06
21,22,20,19,0.049,3.3460728,0.0,1292.99,0.002
21,22,19,18,0.049,1.0080084,0.0,1554.56,0.001
21,22,18,17,0.049,0.43781059000000005,0.0,1683.06,0.001
21,22,17,16,0.049,0.24495197999999999,0.0,1889.68,1e-06
21,22,16,15,0.049,0.12907090000000002,0.0,1741.39,1e-06
21,22,15,14,0.049,0.08610084000000001,0.0,1853.33,1e-06
21,22,14,13,0.049,0.055574820000000004,0.0,1800.15,1e-06
21,22,13,12,0.049,0.040933326,0.0,1893.4,1e-06
21,23,13,11,0.048,0.11622576,0.0,1826.9,0.001
21,23,11,9,0.048,0.06212304,0.0,1711.21,0.001
21,23,9,7,0.048,0.033276384000000006,0.0,1464.16,1e-06
20,21,19,18,0.05,3.0230650000000003,0.0,1137.11,1e-06
20,21,18,17,0.05,0.94812,0.0,1423.32,1e-06
20,21,17,16,0.05,0.430507,0.0,1621.88,1e-06
20,21,16,15,0.05,0.199192,0.0,1499.85,1e-06
20,21,15,14,0.05,0.12269250000000001,0.0,1612.25,1e-06
