A,B,M,N,rhoa,k,err
1,2,3,4,-7.28155,137.873,0.03
1,2,4,5,-2.06945,156.384,0.03
1,2,5,6,-0.844893,159.151,0.03
1,2,6,7,-0.404851,153.038,0.03
1,2,7,8,-0.228988,151.383,0.03
1,2,8,9,-0.136229,143.685,0.03
1,2,9,11,-0.147238,137.445,0.03
1,2,11,14,-0.0985201,131.797,0.03
1,3,7,8,-0.636745,152.74,0.03
1,3,8,10,-0.593715,146.659,0.03
1,3,10,13,-0.327039,136.175,0.03
2,3,4,5,-7.31411,137.558,0.03
2,3,5,6,-2.07781,155.96,0.03
2,3,6,7,-0.837056,157.675,0.03
2,3,7,8,-0.41279,155.409,0.03
2,3,8,9,-0.22125,145.367,0.03
2,3,9,10,-0.139142,146.757,0.03
2,3,10,12,-0.148772,138.236,0.03
1,4,9,10,-0.458049,148.198,0.03
1,4,10,12,-0.476177,139.34,0.03
2,4,8,9,-0.641377,153.507,0.03
2,4,9,11,-0.584273,144.661,0.03
3,4,5,6,-7.42905,139.72,0.03
3,4,6,7,-2.08152,157.297,0.03
3,4,7,8,-0.843374,159.187,0.03
3,4,8,9,-0.414819,156.172,0.03
3,4,9,10,-0.226939,150.028,0.03
3,4,10,11,-0.136964,144.808,0.03
3,4,11,13,-0.14918,138.962,0.03
2,5,10,11,-0.441743,142.922,0.03
2,5,11,13,-0.474328,138.799,0.03
3,5,9,10,-0.647635,155.754,0.03
3,5,10,12,-0.590523,146.208,0.03
4,5,6,7,-7.34943,139.158,0.03
4,5,7,8,-2.04459,154.506,0.03
4,5,8,9,-0.841844,158.577,0.03
4,5,9,10,-0.412361,155.877,0.03
4,5,10,11,-0.220821,145.983,0.03
4,5,11,12,-0.135305,142.71,0.03
4,5,12,14,-0.150014,140.037,0.03
1,6,12,13,-0.358272,138.771,0.03
3,6,11,12,-0.452693,145.915,0.03
4,6,10,11,-0.628811,150.837,0.03
4,6,11,13,-0.588546,145.382,0.03
5,6,7,8,-7.14854,134.444,0.03
5,6,8,9,-2.04833,153.748,0.03
5,6,9,10,-0.839709,158.175,0.03
5,6,10,11,-0.403159,151.783,0.03
5,6,11,12,-0.225356,148.065,0.03
5,6,12,13,-0.136128,143.578,0.03
4,7,12,13,-0.445533,144.148,0.03
5,7,11,12,-0.642708,153.825,0.03
6,7,8,9,-7.37576,138.718,0.03
6,7,9,10,-2.09293,158.159,0.03
6,7,10,11,-0.833436,157.311,0.03
6,7,11,12,-0.405594,152.699,0.03
6,7,12,13,-0.223011,147.431,0.03
6,7,13,14,-0.137091,144.943,0.03
6,8,12,13,-0.638576,153.575,0.03
7,8,9,10,-7.21422,136.598,0.03
7,8,10,11,-2.03874,154.064,0.03
7,8,11,12,-0.841457,158.504,0.03
7,8,12,13,-0.411944,155.719,0.03
7,8,13,14,-0.227946,150.694,0.03
8,9,10,11,-7.37363,138.677,0.03
8,9,11,12,-2.05858,154.517,0.03
8,9,12,13,-0.850648,160.236,0.03
8,9,13,14,-0.412657,155.359,0.03
9,10,11,12,-7.21495,135.693,0.03
9,10,12,13,-2.07935,157.133,0.03
9,10,13,14,-0.819541,154.689,0.03
10,11,12,13,-7.32014,138.604,0.03
10,11,13,14,-2.03641,153.888,0.03
11,12,13,14,-7.4224,139.595,0.03
