A,B,M,N,rhoa,k,err
1,11,2,3,0.776853,9.49838,0.03
1,11,3,4,0.256048,8.71866,0.03
1,11,4,5,0.501046,29.3829,0.03
1,11,5,6,0.501991,37.8492,0.03
1,11,6,7,0.501732,37.8297,0.03
1,11,7,8,0.503137,29.5055,0.03
1,11,8,9,0.499102,16.9948,0.03
1,11,9,10,0.472943,5.78254,0.03
2,12,3,4,0.565647,6.91602,0.03
2,12,4,5,0.44782,15.2486,0.03
2,12,5,6,0.502912,29.4923,0.03
2,12,6,7,0.502287,37.8715,0.03
2,12,7,8,0.50368,37.9766,0.03
2,12,8,9,0.499277,29.2791,0.03
2,12,9,10,0.50317,17.1333,0.03
2,12,10,11,0.471872,5.76945,0.03
3,13,4,5,0.750376,9.17465,0.03
3,13,5,6,0.281122,9.57242,0.03
3,13,6,7,0.502506,29.4685,0.03
3,13,7,8,0.503523,37.9647,0.03
3,13,8,9,0.500125,37.7086,0.03
3,13,9,10,0.503176,29.5078,0.03
3,13,10,11,0.503727,17.1523,0.03
3,13,11,12,0.399364,4.88292,0.03
4,14,5,6,0.728922,8.91234,0.03
4,14,6,7,0.300705,10.2392,0.03
4,14,7,8,0.503874,29.5487,0.03
4,14,8,9,0.500104,37.707,0.03
4,14,9,10,0.503627,37.9726,0.03
4,14,10,11,0.503859,29.5478,0.03
4,14,11,12,0.443777,15.111,0.03
4,14,12,13,0.560086,6.84802,0.03
5,15,6,7,0.688763,8.42132,0.03
5,15,7,8,0.338701,11.5331,0.03
5,15,8,9,0.500192,29.3328,0.03
5,15,9,10,0.503617,37.9718,0.03
5,15,10,11,0.503842,37.9888,0.03
5,15,11,12,0.454872,26.6751,0.03
5,15,12,13,0.549893,18.7243,0.03
5,15,13,14,0.466953,5.70931,0.03
6,16,7,8,0.588961,7.20107,0.03
6,16,8,9,0.434264,14.787,0.03
6,16,9,10,0.503639,29.5349,0.03
6,16,10,11,0.50425,38.0195,0.03
6,16,11,12,0.465439,35.0933,0.03
