A,B,M,N,rhoa,k,err
2,1,3,4,5.27563,99.4434,0.03
2,1,4,5,1.32346,99.7864,0.03
2,1,5,6,0.528814,99.679,0.03
2,1,6,7,0.262016,98.7778,0.03
2,1,7,8,0.151858,100.186,0.03
2,1,8,9,0.0953301,100.628,0.03
2,1,9,10,0.0626686,99.2272,0.03
2,1,10,11,0.0445229,100.708,0.03
3,2,4,5,5.26811,99.3015,0.03
3,2,5,6,1.31563,99.1958,0.03
3,2,6,7,0.523444,98.6669,0.03
3,2,7,8,0.267397,100.806,0.03
3,2,8,9,0.151381,99.8711,0.03
3,2,9,10,0.0943133,99.5547,0.03
3,2,10,11,0.0632431,100.137,0.03
3,2,11,12,0.0440829,99.7132,0.03
3,1,11,13,0.13068,98.5301,0.03
3,1,13,15,0.075849,100.08,0.03
3,1,15,17,0.0474763,100.23,0.03
3,1,17,19,0.0312763,99.0433,0.03
3,1,19,21,0.0220759,99.869,0.03
4,3,5,6,5.32844,100.439,0.03
4,3,6,7,1.33182,100.417,0.03
4,3,7,8,0.529044,99.7224,0.03
4,3,8,9,0.264087,99.5586,0.03
4,3,9,10,0.15385,101.5,0.03
4,3,10,11,0.0942107,99.4465,0.03
4,3,11,12,0.0628713,99.5481,0.03
4,3,12,13,0.0436311,98.6912,0.03
4,2,12,14,0.130926,98.716,0.03
4,2,14,16,0.0755656,99.7065,0.03
4,2,16,18,0.0473586,99.9811,0.03
4,2,18,20,0.0315352,99.8634,0.03
4,2,20,22,0.0217591,98.4358,0.03
4,1,22,25,0.0317576,100.567,0.03
4,1,25,28,0.0211469,100.449,0.03
4,1,28,31,0.0147422,100.038,0.03
5,4,6,7,5.29921,99.8878,0.03
5,4,7,8,1.34472,101.389,0.03
5,4,8,9,0.531891,100.259,0.03
5,4,9,10,0.268307,101.149,0.03
5,4,10,11,0.152947,100.905,0.03
5,4,11,12,0.0941601,99.393,0.03
5,4,12,13,0.0628362,99.4926,0.03
5,4,13,14,0.0445031,100.664,0.03
5,3,13,15,0.135029,101.809,0.03
5,3,15,17,0.0766451,101.131,0.03
5,3,17,19,0.0479363,101.201,0.03
5,3,19,21,0.0317917,100.675,0.03
5,3,21,23,0.0223634,101.169,0.03
5,2,23,26,0.0322074,101.992,0.03
5,2,26,29,0.0215419,102.326,0.03
5,2,29,32,0.0145618,98.814,0.03
5,1,29,33,0.0236695,99.9398,0.03
5,1,33,37,0.0156323,99.0061,0.03
5,1,37,41,0.0111786,101.141,0.03
6,5,7,8,5.29302,99.7712,0.03
6,5,8,9,1.32989,100.271,0.03
6,5,9,10,0.528161,99.556,0.03
6,5,10,11,0.265898,100.241,0.03
6,5,11,12,0.148568,98.0151,0.03
6,5,12,13,0.0948752,100.148,0.03
6,5,13,14,0.0634932,100.533,0.03
6,5,14,15,0.0441942,99.9648,0.03
6,4,14,16,0.132059,99.5698,0.03
6,4,16,18,0.0764135,100.825,0.03
6,4,18,20,0.0469173,99.0494,0.03
6,4,20,22,0.0320399,101.462,0.03
6,4,22,24,0.0221027,99.9904,0.03
6,3,24,27,0.0310678,98.3832,0.03
6,3,27,30,0.021169,100.555,0.03
6,3,30,33,0.0143432,97.3305,0.03
6,2,30,34,0.0240979,101.749,0.03
6,2,34,38,0.0157797,99.94,0.03
6,2,38,42,0.0111948,101.288,0.03
6,1,41,46,0.0126627,100.248,0.03
6,1,46,51,0.00886881,100.304,0.03
7,6,8,9,5.3305,100.478,0.03
7,6,9,10,1.3319,100.423,0.03
7,6,10,11,0.531122,100.114,0.03
7,6,11,12,0.265976,100.271,0.03
7,6,12,13,0.152943,100.902,0.03
7,6,13,14,0.0948936,100.167,0.03
7,6,14,15,0.0640753,101.454,0.03
7,6,15,16,0.0447006,101.11,0.03
7,5,15,17,0.132589,99.9697,0.03
7,5,17,19,0.0757254,99.9173,0.03
7,5,19,21,0.0469882,99.199,0.03
7,5,21,23,0.0321267,101.736,0.03
7,5,23,25,0.0222898,100.837,0.03
7,4,25,28,0.031966,101.228,0.03
7,4,28,31,0.0210967,100.211,0.03
7,4,31,34,0.0146418,99.357,0.03
7,3,31,35,0.0235766,99.5476,0.03
7,3,35,39,0.0158021,100.082,0.03
7,3,39,43,0.0110227,99.7311,0.03
7,2,42,47,0.0126083,99.8175,0.03
7,2,47,52,0.00877598,99.254,0.03
7,1,49,55,0.0104138,98.9331,0.03
8,7,9,10,5.3334,100.532,0.03
8,7,10,11,1.32788,100.12,0.03
8,7,11,12,0.53437,100.726,0.03
8,7,12,13,0.265905,100.244,0.03
8,7,13,14,0.151227,99.7698,0.03
8,7,14,15,0.0940183,99.2434,0.03
8,7,15,16,0.063286,100.205,0.03
8,7,16,17,0.0442409,100.071,0.03
8,6,16,18,0.130864,98.6688,0.03
8,6,18,20,0.0764445,100.866,0.03
8,6,20,22,0.0479506,101.231,0.03
8,6,22,24,0.0312824,99.0629,0.03
8,6,24,26,0.0219497,99.2979,0.03
8,5,26,29,0.0313552,99.2934,0.03
8,5,29,32,0.0212268,100.829,0.03
8,5,32,35,0.0147094,99.8154,0.03
8,4,32,36,0.0236728,99.9536,0.03
8,4,36,40,0.0158478,100.371,0.03
8,4,40,44,0.0111194,100.606,0.03
8,3,43,48,0.0126742,100.339,0.03
8,3,48,53,0.00880386,99.5693,0.03
8,2,50,56,0.0105199,99.9412,0.03
9,8,10,11,5.22931,98.5702,0.03
9,8,11,12,1.3153,99.1712,0.03
9,8,12,13,0.52327,98.634,0.03
9,8,13,14,0.267411,100.812,0.03
9,8,14,15,0.151577,100.001,0.03
9,8,15,16,0.0934162,98.6078,0.03
9,8,16,17,0.0629087,99.6074,0.03
9,8,17,18,0.0441877,99.9502,0.03
9,7,17,19,0.134682,101.547,0.03
9,7,19,21,0.0757364,99.9319,0.03
9,7,21,23,0.0475104,100.302,0.03
9,7,23,25,0.0312306,98.8986,0.03
9,7,25,27,0.0219482,99.2912,0.03
9,6,27,30,0.0322484,102.122,0.03
9,6,30,33,0.0211784,100.599,0.03
9,6,33,36,0.014895,101.075,0.03
9,5,33,37,0.0235802,99.5627,0.03
9,5,37,41,0.0156932,99.3923,0.03
9,5,41,45,0.0111467,100.853,0.03
9,4,44,49,0.0126796,100.382,0.03
9,4,49,54,0.00877346,99.2255,0.03
10,9,11,12,5.25451,99.0452,0.03
10,9,12,13,1.33522,100.673,0.03
10,9,13,14,0.531277,100.143,0.03
10,9,14,15,0.267832,100.97,0.03
10,9,15,16,0.149214,98.4418,0.03
10,9,16,17,0.0938107,99.0243,0.03
10,9,17,18,0.0628332,99.4877,0.03
10,9,18,19,0.0438468,99.1792,0.03
10,8,18,20,0.13293,100.227,0.03
10,8,20,22,0.0750383,99.0107,0.03
10,8,22,24,0.0472278,99.705,0.03
10,8,24,26,0.0314273,99.5216,0.03
10,8,26,28,0.0221679,100.285,0.03
10,7,28,31,0.0316535,100.238,0.03
10,7,31,34,0.021295,101.153,0.03
10,7,34,37,0.0146863,99.6591,0.03
10,6,34,38,0.0237454,100.26,0.03
10,6,38,42,0.015799,100.062,0.03
10,6,42,46,0.0108844,98.4795,0.03
10,5,45,50,0.0126961,100.513,0.03
10,5,50,55,0.00882122,99.7657,0.03
11,10,12,13,5.34206,100.695,0.03
11,10,13,14,1.343,101.26,0.03
11,10,14,15,0.531285,100.145,0.03
11,10,15,16,0.267387,100.803,0.03
11,10,16,17,0.150773,99.4699,0.03
11,10,17,18,0.0935875,98.7886,0.03
11,10,18,19,0.0637457,100.933,0.03
11,10,19,20,0.0436581,98.7522,0.03
11,9,19,21,0.131249,98.9595,0.03
11,9,21,23,0.0757408,99.9377,0.03
11,9,23,25,0.0471574,99.5563,0.03
11,9,25,27,0.0314649,99.6408,0.03
11,9,27,29,0.0225196,101.876,0.03
11,8,29,32,0.0314621,99.6318,0.03
11,8,32,35,0.0212206,100.8,0.03
11,8,35,38,0.014589,98.9988,0.03
11,7,35,39,0.023537,99.3801,0.03
11,7,39,43,0.015981,101.215,0.03
11,7,43,47,0.0109839,99.38,0.03
11,6,46,51,0.0126927,100.485,0.03
11,6,51,56,0.0088826,100.46,0.03
12,11,13,14,5.34984,100.842,0.03
12,11,14,15,1.30913,98.706,0.03
12,11,15,16,0.540222,101.829,0.03
12,11,16,17,0.261316,98.514,0.03
12,11,17,18,0.149633,98.7178,0.03
12,11,18,19,0.0938708,99.0877,0.03
12,11,19,20,0.0630507,99.8321,0.03
12,11,20,21,0.0440599,99.6612,0.03
12,10,20,22,0.129846,97.9019,0.03
12,10,22,24,0.0763862,100.789,0.03
12,10,24,26,0.0468455,98.898,0.03
12,10,26,28,0.031095,98.4693,0.03
