cell,rho,log10rho
0,271.2417631478597,2.433356558750605
1,12.667667550074793,1.1026966572367722
2,768.9392835688835,2.88589204870647
3,416.355490190521,2.6194642957716128
4,818.116091142323,2.912814934680108
5,802.3434129012387,2.9043602914837736
6,654.8299513599164,2.81612853545104
7,41.59625653806631,1.619054247982168
8,124.45124703091534,2.09499925269979
9,643.8540797289941,2.808787451910788
10,510.8839138241999,2.7083222282892905
11,804.0604236719458,2.9052886864117236
12,45.29644285867968,1.656064098094426
13,458.87458376808723,2.661694003576211
14,643.5299376284293,2.808568755505202
15,696.183060993452,2.8427234521476827
16,487.22769436134286,2.687731965927115
17,645.8129221884321,2.810106730645503
18,285.19238565121,2.455137926110377
19,763.8416326191515,2.8830033255796073
20,984.3101480340747,2.9931319626150894
21,273.0624463652918,2.436261976749876
22,113.45394604043712,2.054819605675199
23,91.60224763274766,1.9619061300272818
24,694.5274154199772,2.8416893935302494
25,557.763588479083,2.746450159555779
26,298.7053308308723,2.4752429732896757
27,971.7505621205344,2.9875548005261243
28,629.8492563946392,2.799236620962184
29,538.6787834522847,2.7313298706433145
30,324.4766375864663,2.5111834329313454
31,533.2157225665331,2.726902946674335
32,723.706039170987,2.859562196735065
33,469.72417330618634,2.67184291075456
34,125.87557410925564,2.099941464351451
35,630.1319011722749,2.7994314668431524
36,263.16023006876867,2.4202202574088116
37,922.3776736299574,2.9649087822130746
38,707.963926407864,2.8500111292135863
39,902.6665436229637,2.9555273460941773
40,972.957387066804,2.988093819747275
41,625.3372261106846,2.7961142828518386
42,497.9705440941997,2.6972036541739897
43,464.25877342867034,2.666760119661481
44,505.8885884281571,2.70405488292986
45,350.980267917452,2.5452827011511467
46,593.8128796063056,2.7736496130668398
47,125.44373693042012,2.098448983032385
48,483.9916118050471,2.684837834829641
49,658.4736975147994,2.818538431913863
50,387.9787064766172,2.5888078907656724
51,278.137320575715,2.4442592665795133
52,142.7319272573672,2.154521129952622
53,692.4647083530544,2.8403976443674024
54,601.5576723409963,2.7792772702108204
55,727.3453171576108,2.861740647076951
56,309.0046615402819,2.4899650310945796
57,843.7783932132339,2.9262284001304697
58,830.6629082876584,2.9194248182831717
59,83.26637672346358,1.9204696670572166
60,27.50709923362937,1.4394447941973443
61,597.0319840655319,2.775997597680614
62,178.93187187693871,2.2526877052819603
63,642.3710840862333,2.80778598322886
64,930.1763212984096,2.968565279853709
65,98.59859512126326,1.9938707269551077
66,586.6293551130719,2.7683637914175327
67,330.1215962830435,2.5186739364471267
68,846.3531578221535,2.9275516189369664
69,109.56509273349438,2.039672210645187
70,244.7051028862936,2.3886430258791775
71,286.7820223775816,2.4575519230525007
72,279.6547045030081,2.446622129662876
73,332.79203147750655,2.522172918800238
74,13.608102533838615,1.1337975729231897
75,15.419080262692242,1.188058469126716
76,847.4719890894025,2.9281253526745963
77,562.0914477410553,2.7498069775236385
78,236.3376818096073,2.3735329713035025
79,604.6985186752252,2.781538904719777
80,86.858544551521,1.9388125478153084
81,726.2283548521132,2.8610732014970113
82,101.85335167112453,2.0079753248268504
83,161.30706692090894,2.20765339440399
84,89.78467142169715,1.9532021976337686
85,181.53752913302904,2.2589664200639206
86,525.2141272723569,2.720336399279424
87,839.9099961064663,2.9242327500040695
88,64.11418713139955,1.8069541404569882
89,212.61887413642359,2.32760181413586
90,182.36801162029147,2.2609486629665096
91,634.156575525361,2.8021964999815228
92,99.9324571315405,1.9997065659413118
93,559.8479650377475,2.748070103953019
94,507.73637222970814,2.7056382756615527
95,929.1101868143276,2.9680672217307356
96,855.1955520285354,2.932065433390518
97,17.731489698977924,1.248745224087537
98,894.1006745779697,2.951386422545408
99,650.9095061652539,2.8135206142135174
