n0,n1,n2,rho
0,1,2,0.9990484693464888
3,4,5,0.9998280129620036
6,7,8,1.0122261219030524
9,10,11,1.007175429438537
12,13,14,1.0017692859815435
15,16,17,1.0089486348564478
18,19,20,1.0124425768709275
21,22,23,1.0051587215637874
24,25,19,1.0008286485016953
26,27,28,1.000591866006789
29,30,24,1.0076927181202444
31,32,33,1.005778573764017
34,35,36,1.0002337880331313
34,36,37,1.0018339576982591
38,39,26,0.9993082585787352
4,40,5,1.0001571114613825
41,37,42,0.9993393996215253
43,44,45,1.0017248772610816
46,47,48,0.9974753449361963
49,48,50,1.0044009315928017
51,40,52,1.0027525032609002
53,47,46,0.9987326011176219
54,55,31,0.9992296528149965
53,56,47,1.001433543759675
56,53,57,1.0004780125119546
58,59,60,0.999039494298246
57,61,56,0.998089710208827
62,63,64,1.016258198211934
65,66,67,1.0002566070794041
68,69,70,0.9993149771430296
71,1,72,0.9996312232108365
8,73,29,1.0038984619978863
74,65,67,0.9984103572138318
19,29,24,1.0030025321001503
66,75,76,0.9989293916543823
44,70,45,0.9998246999436391
34,37,41,1.005752128665315
74,77,65,0.9987244530154795
29,19,8,1.0052079921258668
25,9,20,1.0123119961921945
78,79,80,0.9985646471613783
41,42,50,0.9970927800339441
81,82,51,0.9981395650204459
83,45,70,0.9987150765777016
73,30,29,1.0046042923013996
84,85,86,0.9986945611353363
83,87,88,1.0021253771592566
84,57,85,0.9978957025859148
89,81,52,0.9999228383347841
5,40,51,1.0004955542559908
67,66,76,1.0005511066734896
70,87,83,1.0004289926066072
49,90,91,0.9981503382284486
75,92,76,0.9983268975199941
30,73,35,1.0038675374630062
43,93,94,0.9986529852499944
85,57,53,0.9985807386301918
95,4,3,1.0018733835229516
96,97,98,0.9992485708911373
99,100,101,1.0006135079523795
100,102,101,1.0003754592371916
84,61,57,0.9985580932952196
97,96,103,0.998303451617005
102,104,105,0.9989325096928607
97,103,106,0.9989493098093014
107,108,109,0.9983701701053693
104,110,105,0.9993602735541908
111,96,112,0.9967466252240471
113,1,114,1.0005316512896087
115,116,117,0.9970728255132485
118,119,120,1.0013533075140058
114,1,71,0.9984006395010908
120,121,59,0.9979236883236309
113,114,109,1.0025248799770612
122,123,124,1.0076894918661559
71,72,125,1.0017219632646246
126,127,128,1.0100194603239419
39,129,27,0.9992407968619285
130,126,128,1.0131659854557982
60,121,131,1.0017048789139642
59,121,60,1.0005729545130688
132,133,126,1.0177751553429297
118,120,59,0.9994266610111088
96,111,103,0.999102397694746
117,134,54,1.0068010197644583
27,106,28,0.9988152102339378
135,136,137,1.0003925204091701
28,106,138,0.997522069100285
139,140,141,1.0037028246062496
55,142,143,0.999483680804758
136,135,3,0.9987216527437752
103,111,138,1.0022814810487326
136,3,5,0.9983692363340024
115,112,144,1.0044242833276806
115,144,116,0.9999706812164472
95,135,99,1.0007990023112976
103,138,106,1.0011246207771298
101,102,105,1.0016650191108996
81,89,145,1.0009632102216799
117,116,134,1.0017740533623491
146,79,87,0.9983891852739234
33,128,147,1.0093219412976797
148,149,133,1.0161122427045635
150,88,79,0.9994132804059854
146,87,70,0.9987131723148969
127,149,147,1.0028359288959017
151,93,92,1.0009243410287798
127,133,149,1.011275891188735
79,88,87,0.9999610904257193
127,147,128,1.0037187043894042
51,52,81,1.0004242779684565
128,33,32,1.0044220193709632
135,95,3,1.0004823933154885
44,94,14,0.9986723042847022
133,127,126,1.0137213224967332
152,107,110,1.0029814596461726
61,84,153,1.0002008175015735
113,108,154,0.9987038860242978
155,156,157,0.9994914744339606
26,39,27,1.0012203256437155
156,155,72,0.998931264132696
125,155,131,0.9980048410826013
156,72,1,0.9986647019062328
155,125,72,1.0003178995757154
158,22,159,1.0211872954134666
6,8,18,1.0159219993118511
90,49,42,0.9981128844192495
48,49,46,1.0009194839239257
35,73,36,0.9990594010701087
21,36,73,0.9987564929239876
6,160,161,1.0290222368032826
53,46,91,0.9979074915480678
50,42,49,1.0002438992126907
90,42,37,0.9976319223600131
162,12,151,0.999967454051726
94,44,43,1.0001689122481991
162,75,66,0.9981628601984754
151,92,75,0.9998785682132343
77,74,153,0.9990995384400474
65,77,163,0.9987855934257117
91,46,49,0.9986291980938647
164,165,166,1.011965560446921
142,55,134,0.9996133178817425
31,55,32,0.9998803730021257
112,96,144,1.0013854379392952
139,144,96,0.9987998043863511
129,106,27,0.9984886124458598
128,32,143,1.0013952989986246
167,38,119,0.9985227534361159
168,39,167,0.9984863306943027
143,32,55,0.9984630284016919
132,148,133,1.016061478148483
54,134,55,1.0025594439344578
142,134,116,0.9992264975301235
169,170,152,0.9993130973662535
108,113,109,1.0000810190864713
169,104,102,0.9979773386116452
152,110,104,1.0001456422757786
99,135,100,0.9992967841109108
171,100,135,0.9982935229002442
