A,B,M,N,CURRENT,dV,k,rhoa,err
27,28,22,21,0.055,0.12913065,0.0,1552.14,0.001
27,28,21,20,0.055,0.08273925,0.0,1586.68,0.002
26,27,21,20,0.05,0.137923,0.0,1812.39,0.002
26,27,20,19,0.05,0.09719900000000001,0.0,2050.37,0.001
26,27,19,18,0.05,0.066971,0.0,2118.24,0.001
26,27,18,17,0.05,0.04883465000000001,0.0,2200.31,0.001
26,28,18,16,0.05,0.137936,0.0,2077.22,0.002
26,28,16,14,0.05,0.0703135,0.0,1853.62,0.002
26,28,14,12,0.05,0.0398028,0.0,1681.27,0.002
25,26,20,19,0.049,0.1380379,0.0,1862.37,1e-06
25,26,19,18,0.049,0.09034375,0.0,1949.35,1e-06
25,26,18,17,0.049,0.06325361,0.0,2041.49,1e-06
25,26,17,16,0.049,0.048229622,0.0,2230.9,1e-06
25,27,17,15,0.049,0.13685161,0.0,2107.21,0.001
25,27,15,13,0.049,0.07055608000000001,0.0,1897.98,0.002
25,27,13,11,0.049,0.040363064000000004,0.0,1737.63,0.002
24,25,19,18,0.049,0.1417129,0.0,1911.95,0.001
24,25,18,17,0.049,0.09466016000000001,0.0,2037.57,0.001
24,25,17,16,0.049,0.06927326,0.0,2243.87,0.001
24,25,16,15,0.049,0.043652091,0.0,2019.16,0.001
24,26,16,14,0.05,0.1313435,0.0,1981.95,0.001
24,26,14,12,0.05,0.0712865,0.0,1885.08,0.001
24,26,12,10,0.05,0.04016625,0.0,1696.62,0.001
23,24,18,17,0.05,0.1449365,0.0,1904.55,0.001
23,24,17,16,0.05,0.10102050000000001,0.0,2130.99,0.001
23,24,16,15,0.05,0.061054500000000005,0.0,1931.1,0.001
23,24,15,14,0.05,0.044880500000000004,0.0,2022.15,0.001
23,25,15,13,0.05,0.131664,0.0,1982.77,0.001
23,25,13,11,0.05,0.0721775,0.0,1902.76,0.001
23,25,11,9,0.05,0.0406605,0.0,1717.5,0.001
22,23,16,15,0.048,0.08286816000000001,0.0,1825.3,0.001
22,23,15,14,0.048,0.058251840000000006,0.0,1919.23,0.001
22,23,14,13,0.048,0.039507216,0.0,1865.51,0.001
22,24,12,10,0.05,0.06750450000000001,0.0,1779.57,0.001
21,22,16,15,0.049,0.12907090000000002,0.0,1741.39,1e-06
21,22,15,14,0.049,0.08610084000000001,0.0,1853.33,1e-06
21,22,14,13,0.049,0.055574820000000004,0.0,1800.15,1e-06
21,22,13,12,0.049,0.040933326,0.0,1893.4,1e-06
21,23,13,11,0.048,0.11622576,0.0,1826.9,0.001
21,23,9,7,0.048,0.033276384000000006,0.0,1464.16,1e-06
20,21,18,17,0.05,0.94812,0.0,1423.32,1e-06
20,21,14,13,0.05,0.07467,0.0,1575.13,1e-06
20,21,13,12,0.05,0.052314000000000006,0.0,1654.65,1e-06
20,21,12,11,0.05,0.0352218,0.0,1586.96,1e-06
20,22,12,10,0.05,0.10745100000000002,0.0,1618.14,0.001
20,22,8,6,0.05,0.0334995,0.0,1415.02,0.001
19,20,13,12,0.052000000000000005,0.08125884000000001,0.0,1652.17,1e-06
19,20,12,11,0.052000000000000005,0.052061880000000005,0.0,1583.34,1e-06
19,20,11,10,0.052000000000000005,0.03563352,0.0,1553.17,1e-06
