A,B,M,N,CURRENT,dV
13,16,14,15,0.2,0.454
12,17,14,15,0.2,0.130592
11,18,14,15,0.2,0.06546400000000001
10,19,14,15,0.2,0.045090000000000005
9,20,14,15,0.2,0.033724
8,21,14,15,0.2,0.02688
12,15,13,14,0.2,0.47736
11,16,13,14,0.2,0.13567800000000002
10,17,13,14,0.2,0.07257400000000001
9,18,13,14,0.2,0.049218000000000005
8,19,13,14,0.2,0.037542
7,20,13,14,0.2,0.03067
11,14,12,13,0.2,0.45554
10,15,12,13,0.2,0.142636
9,16,12,13,0.2,0.07539400000000002
8,17,12,13,0.2,0.052202000000000005
7,18,12,13,0.2,0.040256
6,19,12,13,0.2,0.031646
10,13,11,12,0.2,0.36196000000000006
9,14,11,12,0.2,0.11581999999999999
8,15,11,12,0.2,0.060392
7,16,11,12,0.2,0.041188
6,17,11,12,0.2,0.031098
5,18,11,12,0.2,0.02484
9,12,10,11,0.2,0.35076
8,13,10,11,0.2,0.11451800000000001
7,14,10,11,0.2,0.06224
6,15,10,11,0.2,0.041922
5,16,10,11,0.2,0.032279999999999996
4,17,10,11,0.1,0.013275000000000002
8,11,9,10,0.2,0.31178
7,12,9,10,0.2,0.118312
6,13,9,10,0.2,0.06560200000000001
5,14,9,10,0.2,0.045068000000000004
4,15,9,10,0.1,0.017279
3,16,9,10,0.1,0.013965
7,10,8,9,0.2,0.42218
6,11,8,9,0.2,0.117956
5,12,8,9,0.2,0.067664
4,13,8,9,0.1,0.023213
3,14,8,9,0.1,0.017408000000000003
2,15,8,9,0.1,0.01348
6,9,7,8,0.2,0.45296000000000003
5,10,7,8,0.1,0.061077000000000006
4,11,7,8,0.1,0.032659
3,12,7,8,0.1,0.022785
2,13,7,8,0.2,0.03348
1,14,7,8,0.1,0.01346
5,8,6,7,0.2,0.57016
4,9,6,7,0.1,0.067914
3,10,6,7,0.1,0.034014
2,11,6,7,0.2,0.045590000000000006
1,12,6,7,0.1,0.017703
4,7,5,6,0.1,0.29922
3,8,5,6,0.1,0.071642
2,9,5,6,0.2,0.068892
1,10,5,6,0.1,0.023531
3,6,4,5,0.1,0.32333
2,7,4,5,0.1,0.069697
1,8,4,5,0.1,0.035082999999999996
2,5,3,4,0.1,0.28364
1,6,3,4,0.1,0.07572000000000001
1,4,2,3,0.1,0.33044
14,17,15,16,0.2,0.45730000000000004
13,18,15,16,0.2,0.139792
12,19,15,16,0.2,0.070078
11,20,15,16,0.2,0.046352000000000004
10,21,15,16,0.2,0.03602
9,22,15,16,0.2,0.028426000000000003
15,18,16,17,0.2,0.39092
14,19,16,17,0.2,0.128862
13,20,16,17,0.2,0.067542
12,21,16,17,0.2,0.045148
11,22,16,17,0.2,0.034138
10,23,16,17,0.2,0.027988000000000002
16,19,17,18,0.2,0.46306
15,20,17,18,0.2,0.13251200000000002
14,21,17,18,0.2,0.07404
13,22,17,18,0.2,0.050168000000000004
12,23,17,18,0.2,0.036958000000000005
11,24,17,18,0.2,0.029492000000000004
17,20,18,19,0.2,0.3618
16,21,18,19,0.2,0.127606
15,22,18,19,0.2,0.069486
14,23,18,19,0.2,0.047658000000000006
13,24,18,19,0.2,0.036
12,25,18,19,0.2,0.028206
18,21,19,20,0.2,0.45324000000000003
17,22,19,20,0.2,0.132918
16,23,19,20,0.2,0.07206800000000001
15,24,19,20,0.2,0.05023
14,25,19,20,0.2,0.038214
13,26,19,20,0.2,0.030316
19,22,20,21,0.2,0.35262
18,23,20,21,0.2,0.12447600000000002
17,24,20,21,0.2,0.069038
16,25,20,21,0.2,0.048702
15,26,20,21,0.2,0.03767
14,27,20,21,0.2,0.029522
20,23,21,22,0.2,0.34674000000000005
19,24,21,22,0.2,0.121506
18,25,21,22,0.2,0.069916
17,26,21,22,0.2,0.048126
16,27,21,22,0.2,0.036303999999999996
15,28,21,22,0.2,0.029196
21,24,22,23,0.2,0.32664000000000004
20,25,22,23,0.2,0.126008
19,26,22,23,0.2,0.07534800000000001
18,27,22,23,0.2,0.05192600000000001
17,28,22,23,0.2,0.038718
16,29,22,23,0.2,0.029836
22,25,23,24,0.2,0.26574000000000003
21,26,23,24,0.2,0.115428
20,27,23,24,0.2,0.067338
19,28,23,24,0.2,0.04667
18,29,23,24,0.2,0.034028
17,30,23,24,0.2,0.02602
23,26,24,25,0.2,0.28664
22,27,24,25,0.2,0.11637
21,28,24,25,0.2,0.06869600000000001
20,29,24,25,0.2,0.045476
19,30,24,25,0.2,0.033202
18,31,24,25,0.2,0.025378
24,27,25,26,0.2,0.26668
23,28,25,26,0.2,0.112626
22,29,25,26,0.2,0.06198200000000001
21,30,25,26,0.2,0.04231
20,31,25,26,0.2,0.030588
19,32,25,26,0.2,0.024196000000000002
25,28,26,27,0.2,0.333
24,29,26,27,0.2,0.119498
23,30,26,27,0.2,0.06993200000000001
22,31,26,27,0.2,0.046736
21,32,26,27,0.2,0.035284
20,33,26,27,0.2,0.027442
26,29,27,28,0.2,0.27318
25,30,27,28,0.2,0.10508800000000001
24,31,27,28,0.2,0.059978000000000004
23,32,27,28,0.2,0.04236
22,33,27,28,0.2,0.031496
21,34,27,28,0.2,0.024868
27,30,28,29,0.2,0.32854000000000005
26,31,28,29,0.2,0.11676800000000001
25,32,28,29,0.2,0.068844
24,33,28,29,0.2,0.048100000000000004
23,34,28,29,0.2,0.036694
22,35,28,29,0.2,0.029244
28,31,29,30,0.2,0.2927
27,32,29,30,0.2,0.112452
26,33,29,30,0.2,0.066474
25,34,29,30,0.2,0.047046000000000004
24,35,29,30,0.2,0.036596000000000004
23,36,29,30,0.2,0.030436000000000005
41,44,42,43,0.2,0.31836000000000003
40,45,42,43,0.2,0.090338
39,46,42,43,0.2,0.04710400000000001
38,47,42,43,0.1,0.014763000000000002
37,48,42,43,0.2,0.019929000000000002
36,49,42,43,0.2,0.015723400000000002
40,43,41,42,0.2,0.36772000000000005
39,44,41,42,0.2,0.120008
38,45,41,42,0.2,0.061722
37,46,41,42,0.2,0.038638000000000006
36,47,41,42,0.1,0.013132
35,48,41,42,0.1,0.010151
39,42,40,41,0.2,0.35648
38,43,40,41,0.2,0.103412
37,44,40,41,0.2,0.056646
36,45,40,41,0.2,0.036112
35,46,40,41,0.2,0.026398
34,47,40,41,0.1,0.0098879
38,41,39,40,0.2,0.36182000000000003
37,42,39,40,0.2,0.104612
36,43,39,40,0.2,0.056316000000000005
35,44,39,40,0.2,0.039552000000000004
34,45,39,40,0.2,0.030058
33,46,39,40,0.2,0.023574
37,40,38,39,0.2,0.31748
36,41,38,39,0.2,0.10454200000000001
35,42,38,39,0.2,0.05663200000000001
34,43,38,39,0.2,0.0417
33,44,38,39,0.2,0.032074000000000005
32,45,38,39,0.2,0.025812
36,39,37,38,0.2,0.26511999999999997
35,40,37,38,0.2,0.094692
34,41,37,38,0.2,0.056588000000000006
33,42,37,38,0.2,0.038768000000000004
32,43,37,38,0.2,0.030958000000000003
31,44,37,38,0.2,0.025422
35,38,36,37,0.2,0.22494000000000003
34,39,36,37,0.2,0.09115600000000001
33,40,36,37,0.2,0.05201
32,41,36,37,0.2,0.036896000000000005
31,42,36,37,0.2,0.027942
30,43,36,37,0.2,0.022536
34,37,35,36,0.2,0.167802
33,38,35,36,0.2,0.067848
32,39,35,36,0.2,0.039814
31,40,35,36,0.2,0.027583999999999997
30,41,35,36,0.2,0.02044
29,42,35,36,0.2,0.0154576
33,36,34,35,0.2,0.138222
32,37,34,35,0.2,0.059348000000000005
31,38,34,35,0.2,0.03638
30,39,34,35,0.2,0.024472
29,40,34,35,0.2,0.0177164
28,41,34,35,0.2,0.013656
32,35,33,34,0.2,0.184072
31,36,33,34,0.2,0.08404
30,37,33,34,0.2,0.050944
29,38,33,34,0.2,0.035088
28,39,33,34,0.2,0.025812
27,40,33,34,0.2,0.020560000000000002
31,34,32,33,0.2,0.19351200000000002
30,35,32,33,0.2,0.071524
29,36,32,33,0.2,0.04415
28,37,32,33,0.2,0.031632
27,38,32,33,0.2,0.024558
26,39,32,33,0.2,0.019100000000000002
30,33,31,32,0.2,0.24584000000000003
29,34,31,32,0.2,0.078128
28,35,31,32,0.2,0.049236
27,36,31,32,0.2,0.038216
26,37,31,32,0.2,0.029334
25,38,31,32,0.2,0.023328
29,32,30,31,0.2,0.26908
28,33,30,31,0.2,0.096354
27,34,30,31,0.2,0.059306000000000005
26,35,30,31,0.2,0.043296
25,36,30,31,0.2,0.034766000000000005
24,37,30,31,0.2,0.027880000000000002
42,45,43,44,0.2,0.2978
41,46,43,44,0.2,0.0897
40,47,43,44,0.1,0.023702
39,48,43,44,0.1,0.01482
38,49,43,44,0.2,0.022016
37,50,43,44,0.1,0.007764500000000001
43,46,44,45,0.2,0.33028
42,47,44,45,0.1,0.056629
41,48,44,45,0.1,0.026691
39,50,44,45,0.1,0.013108000000000002
38,51,44,45,0.2,0.020782000000000002
44,47,45,46,0.1,0.21417000000000003
43,48,45,46,0.1,0.05321200000000001
42,49,45,46,0.1,0.032226
41,50,45,46,0.1,0.021171000000000002
40,51,45,46,0.2,0.032294
39,52,45,46,0.1,0.011843
45,48,46,47,0.1,0.17471000000000003
44,49,46,47,0.1,0.048965
43,50,46,47,0.1,0.027694999999999997
41,52,46,47,0.1,0.014064
40,53,46,47,0.1,0.011074
46,49,47,48,0.1,0.21901000000000004
45,50,47,48,0.1,0.059668
44,51,47,48,0.1,0.032509
43,52,47,48,0.1,0.021596000000000004
42,53,47,48,0.1,0.016792
41,54,47,48,0.1,0.012996
47,50,48,49,0.1,0.22077000000000002
46,51,48,49,0.1,0.049462000000000006
45,52,48,49,0.1,0.023418
44,53,48,49,0.1,0.015831
43,54,48,49,0.1,0.011984000000000002
42,55,48,49,0.1,0.0098462
48,51,49,50,0.1,0.23270000000000002
47,52,49,50,0.1,0.052713
46,53,49,50,0.1,0.024588
45,54,49,50,0.1,0.01626
44,55,49,50,0.1,0.012289000000000001
43,56,49,50,0.1,0.0094191
49,52,50,51,0.1,0.28747
48,53,50,51,0.1,0.05307500000000001
47,54,50,51,0.1,0.027161000000000005
46,55,50,51,0.1,0.017707
