A,B,M,N,CURRENT,dV
2,1,3,4,1.0,2.07929
2,1,4,5,1.0,0.516028
2,1,5,6,1.0,0.20616
2,1,6,7,1.0,0.108157
2,1,7,8,1.0,0.0644008
2,1,8,9,1.0,0.0437163
3,1,9,11,1.0,0.129423
3,1,11,13,1.0,0.0755247
3,1,13,15,1.0,0.0501887
3,1,15,17,1.0,0.0346118
4,1,16,19,1.0,0.0682398
4,1,19,22,1.0,0.0438791
4,1,22,25,1.0,0.0302054
5,1,25,29,1.0,0.0390825
5,1,29,33,1.0,0.027936
6,1,31,36,1.0,0.0347741
6,1,36,41,1.0,0.0237932
7,1,37,43,1.0,0.0317552
7,1,43,49,1.0,0.0215196
3,2,4,5,1.0,2.06834
3,2,5,6,1.0,0.523592
3,2,6,7,1.0,0.206085
3,2,7,8,1.0,0.109769
3,2,8,9,1.0,0.0654723
3,2,9,10,1.0,0.0442299
4,2,10,12,1.0,0.129589
4,2,12,14,1.0,0.0759037
4,2,14,16,1.0,0.0499437
4,2,16,18,1.0,0.0346836
5,2,17,20,1.0,0.0688895
5,2,20,23,1.0,0.0430287
5,2,23,26,1.0,0.0308364
6,2,26,30,1.0,0.0401999
6,2,30,34,1.0,0.0270562
7,2,32,37,1.0,0.0345531
7,2,37,42,1.0,0.0235614
8,2,38,44,1.0,0.0312888
8,2,44,50,1.0,0.0211668
4,3,5,6,1.0,2.08488
4,3,6,7,1.0,0.509698
4,3,7,8,1.0,0.210295
4,3,8,9,1.0,0.107426
4,3,9,10,1.0,0.0647951
4,3,10,11,1.0,0.0433077
5,3,11,13,1.0,0.131392
5,3,13,15,1.0,0.0775013
5,3,15,17,1.0,0.0501191
5,3,17,19,1.0,0.0350093
6,3,18,21,1.0,0.0673571
6,3,21,24,1.0,0.0440388
6,3,24,27,1.0,0.0305541
7,3,27,31,1.0,0.0400869
7,3,31,35,1.0,0.0255727
8,3,33,38,1.0,0.0343077
8,3,38,43,1.0,0.0232162
9,3,39,45,1.0,0.0318818
9,3,45,51,1.0,0.0215238
5,4,6,7,1.0,2.10116
5,4,7,8,1.0,0.52195
5,4,8,9,1.0,0.208274
5,4,9,10,1.0,0.108388
5,4,10,11,1.0,0.0654578
5,4,11,12,1.0,0.04459
6,4,12,14,1.0,0.132429
6,4,14,16,1.0,0.0765904
